System Code,School Code,System Name,School Name,Number Received SGP,"Median
SGP",% Low Growth,% Typical Growth,% High Growth,Number Received SGP.1,"Median
SGP.1",% Low Growth.1,% Typical Growth.1,% High Growth.1
761,5567,ATLANTA PUBLIC SCHOOLS,FRED A TOOMER ELEMENTARY SCHOOL,66,70,19.696969696969695,21.21212121212121,59.09090909090909,64,79.5,10.9375,21.875,67.1875
763,110,BREMEN CITY,BREMEN 4TH & 5TH GRADE ACADEMY,162,40,41.97530864197531,38.27160493827161,19.753086419753085,162,67,17.901234567901234,30.864197530864196,51.23456790123457
764,292,BUFORD CITY,BUFORD SENIOR ACADEMY,403,49,37.96526054590571,28.78411910669975,33.25062034739454,403,50,29.528535980148884,36.22828784119107,34.24317617866005
765,405,CALHOUN CITY,CALHOUN ELEMENTARY SCHOOL,305,45,36.721311475409834,32.78688524590164,30.491803278688526,302,53,31.456953642384107,33.11258278145695,35.43046357615894
766,106,CARROLLTON CITY,CARROLLTON UPPER ELEMENTARY SCHOOL,333,54,30.33033033033033,35.13513513513514,34.53453453453454,332,52,32.53012048192771,31.927710843373493,35.54216867469879
767,191,CARTERSVILLE CITY,CARTERSVILLE ELEMENTARY SCHOOL,302,45,39.0728476821192,31.125827814569536,29.801324503311257,302,55.5,31.456953642384107,28.807947019867548,39.735099337748345
769,1050,CHICKAMAUGA CITY,CHICKAMAUGA ELEMENTARY SCHOOL,95,53,30.526315789473685,29.473684210526315,40,95,59,17.894736842105264,38.94736842105263,43.1578947368421
771,1050,COMMERCE CITY,COMMERCE ELEMENTARY SCHOOL,128,61,17.96875,36.71875,45.3125,128,71,10.15625,31.25,58.59375
772,101,DALTON PUBLIC SCHOOLS,PARK CREEK ELEMENTARY SCHOOL,69,67,14.492753623188406,31.884057971014492,53.6231884057971,69,28,59.42028985507246,24.63768115942029,15.942028985507246
772,105,DALTON PUBLIC SCHOOLS,BLUE RIDGE ELEMENTARY SCHOOL,81,45,35.80246913580247,44.44444444444444,19.753086419753085,81,40,41.97530864197531,37.03703703703704,20.987654320987655
772,173,DALTON PUBLIC SCHOOLS,WESTWOOD ELEMENTARY SCHOOL,78,56,25.641025641025642,34.61538461538461,39.743589743589745,79,57,21.518987341772153,39.24050632911393,39.24050632911393
772,301,DALTON PUBLIC SCHOOLS,CITY PARK ELEMENTARY SCHOOL,99,58,24.242424242424242,36.36363636363637,39.39393939393939,99,71,20.2020202020202,24.242424242424242,55.55555555555556
772,1050,DALTON PUBLIC SCHOOLS,BROOKWOOD ELEMENTARY SCHOOL,102,60,20.58823529411765,37.254901960784316,42.15686274509804,101,40,44.554455445544555,25.742574257425744,29.702970297029704
772,1052,DALTON PUBLIC SCHOOLS,ROAN ELEMENTARY SCHOOL,56,59,28.571428571428573,23.214285714285715,48.214285714285715,56,37,48.214285714285715,26.785714285714285,25
773,112,CITY SCHOOLS OF DECATUR,FIFTH AVENUE UPPER ELEMENTARY SCHOO,192,52.5,33.333333333333336,29.166666666666668,37.5,192,53,27.604166666666668,30.729166666666668,41.666666666666664
773,506,CITY SCHOOLS OF DECATUR,TALLEY STREET UPPER ELEMENTARY SCHO,200,50.5,33.5,29.5,37,200,48.5,37.5,29,33.5
774,112,DUBLIN CITY,HILLCREST ELEMENTARY,84,52.5,32.142857142857146,35.714285714285715,32.142857142857146,84,53.5,30.952380952380953,34.523809523809526,34.523809523809526
774,312,DUBLIN CITY,SUSIE DASHER,68,59.5,23.529411764705884,36.76470588235294,39.705882352941174,68,59.5,26.470588235294116,32.35294117647059,41.1764705882353
776,104,GAINESVILLE CITY,NEW HOLLAND KNOWLEDGE ACADEMY,74,38.5,47.2972972972973,20.27027027027027,32.432432432432435,74,55.5,32.432432432432435,28.37837837837838,39.189189189189186
776,193,GAINESVILLE CITY,CENTENNIAL ARTS ACADEMY,118,46,38.983050847457626,34.74576271186441,26.271186440677965,118,48.5,32.20338983050848,30.508474576271187,37.28813559322034
776,204,GAINESVILLE CITY,GAINESVILLE EXPLORATION ACADEMY,91,44,38.46153846153846,36.26373626373626,25.274725274725274,91,34,50.54945054945055,28.571428571428573,20.87912087912088
776,211,GAINESVILLE CITY,MUNDY MILL ARTS ACADEMY,97,46,39.175257731958766,31.95876288659794,28.8659793814433,97,46,40.20618556701031,34.02061855670103,25.77319587628866
776,2050,GAINESVILLE CITY,ENOTA MULTIPLE INTELLIGENCES ACADEM,108,37.5,45.370370370370374,37.96296296296296,16.666666666666668,108,42.5,44.44444444444444,29.62962962962963,25.925925925925927
776,2550,GAINESVILLE CITY,FAIR STREET INTERNATIONAL ACADEMY,59,54,35.59322033898305,35.59322033898305,28.8135593220339,59,54,32.20338983050848,30.508474576271187,37.28813559322034
779,107,JEFFERSON CITY,JEFFERSON ACADEMY,312,51.5,31.73076923076923,32.05128205128205,36.217948717948715,312,49,32.37179487179487,35.256410256410255,32.37179487179487
781,104,MARIETTA CITY,SAWYER ROAD ELEMENTARY SCHOOL,74,62.5,21.62162162162162,29.72972972972973,48.648648648648646,74,66,12.162162162162161,35.13513513513514,52.7027027027027
781,106,MARIETTA CITY,MARIETTA CENTER FOR ADVANCED ACADEM,99,75,25.252525252525253,19.19191919191919,55.55555555555556,99,68,18.181818181818183,29.292929292929294,52.525252525252526
781,188,MARIETTA CITY,A.L. BURRUSS ELEMENTARY SCHOOL,49,64,22.448979591836736,30.612244897959183,46.93877551020408,49,53,26.53061224489796,34.69387755102041,38.775510204081634
781,194,MARIETTA CITY,DUNLEITH ELEMENTARY SCHOOL,72,71,19.444444444444443,25,55.55555555555556,72,35.5,50,31.944444444444443,18.055555555555557
781,294,MARIETTA CITY,LOCKHEED ELEMENTARY SCHOOL,107,59,30.8411214953271,25.233644859813083,43.925233644859816,107,60,25.233644859813083,30.8411214953271,43.925233644859816
781,2052,MARIETTA CITY,PARK STREET ELEMENTARY SCHOOL,85,55,38.8235294117647,27.058823529411764,34.11764705882353,85,57,30.58823529411765,32.94117647058823,36.470588235294116
781,3050,MARIETTA CITY,HICKORY HILLS ELEMENTARY SCHOOL,30,62.5,23.333333333333332,33.333333333333336,43.333333333333336,30,51.5,23.333333333333332,43.333333333333336,33.333333333333336
