identification code,County,SNAP All Persons Public Assistance Participation,SNAP All Persons Non-Public Assistance Participation,Calc: SNAP Total PA and Non-PA People,SNAP All Households Public Assistance Participation,SNAP All Households Non-Public Assistance Participation,Calc: SNAP Total PA and Non-PA Households,SNAP All Total Actual PA & Non-PA Issuance
1310001,ECHOLS,73,634,707,35,251,286,125702.0
1310301,EFFINGHAM CO DFCS,613,5442,6055,375,2353,2728,1079112.0
1310501,ELBERT,613,3220,3833,410,1611,2021,641435.0
1310701,EMANUEL,786,5165,5951,470,2506,2976,1071929.0
1310901,EVANS,257,2126,2383,161,981,1142,429707.0
1311101,FANNIN,374,2114,2488,244,1083,1327,408131.0
1311301,FAYETTE,666,5384,6050,432,2442,2874,1106715.0
1311501,FLOYD,2149,12782,14931,1379,6098,7477,2636620.0
1311701,FORSYTH,820,6305,7125,531,2807,3338,1329838.0
1311901,FRANKLIN,546,3090,3636,353,1452,1805,610259.0
1312103,FULTON CO DFCS,19557,126392,145949,13570,65256,78826,27546442.0
1312302,GILMER,390,3122,3512,257,1401,1658,596882.0
1312501,GLASCOCK CO DFCS,60,359,419,41,181,222,69582.0
1312701,GLYNN,1398,10397,11795,882,4912,5794,2121490.0
1312901,GORDON,954,6682,7636,607,3190,3797,1298703.0
1313101,GRADY,727,4221,4948,475,2023,2498,845907.0
1313301,GREENE,358,2034,2392,262,999,1261,397990.0
1313501,GWINNETT,9233,81245,90478,5791,34993,40784,17032328.0
1313701,HABERSHAM CO DFCS,601,4241,4842,373,1960,2333,813060.0
1313901,HALL,1910,16404,18314,1158,7377,8535,3282466.0
1314101,HANCOCK,277,1371,1648,196,746,942,273755.0
1314301,HARALSON,697,4327,5024,460,2074,2534,881025.0
1314501,HARRIS CO DFCS,264,2177,2441,164,1071,1235,419319.0
1314701,HART,550,3412,3962,363,1635,1998,663678.0
1314901,HEARD,263,1903,2166,170,869,1039,381400.0
1315101,HENRY,3272,34072,37344,1806,15270,17076,7168796.0
1315301,HOUSTON CO DFCS,2614,18815,21429,1472,8452,9924,3847810.0
1315501,IRWIN CO DFCS,250,1601,1851,168,756,924,309888.0
1315701,JACKSON,880,6453,7333,545,2905,3450,1278317.0
1315901,JASPER CO DFCS,279,2034,2313,172,948,1120,396388.0
1316101,JEFF DAVIS,388,2864,3252,228,1317,1545,571872.0
1316301,JEFFERSON,537,2891,3428,356,1484,1840,571527.0
1316501,JENKINS CO DFCS,318,1641,1959,220,822,1042,337280.0
1316702,JOHNSON CO DFCS,310,1630,1940,193,826,1019,329207.0
1316902,JONES CO DFCS,424,3144,3568,282,1510,1792,611113.0
1317101,LAMAR,429,2932,3361,294,1494,1788,584155.0
1317301,LANIER CO COMM,288,1789,2077,159,811,970,360304.0
1317501,LAURENS,1655,10230,11885,1056,5027,6083,2122868.0
1317701,LEE,416,3699,4115,248,1677,1925,741387.0
1317901,LIBERTY,1097,9079,10176,628,3850,4478,1837071.0
1318101,LINCOLN CO DFCS,155,1075,1230,110,543,653,203311.0
1318301,LONG CO DFCS,289,2923,3212,161,1162,1323,597545.0
1318501,LOWNDES,3145,19673,22818,1787,9092,10879,4021376.0
1318701,LUMPKIN CO DFCS,340,2573,2913,235,1255,1490,493635.0
1318901,MCDUFFIE,670,3929,4599,437,1887,2324,791919.0
1319101,MCINTOSH,271,1638,1909,187,869,1056,319858.0
1319301,MACON CO DFCS,404,2108,2512,288,1148,1436,428733.0
1319501,MADISON CO DFCS,595,3610,4205,370,1668,2038,726763.0
1319701,MARION CO DFCS,236,1347,1583,173,661,834,264821.0
1319901,MERIWETHER,643,3803,4446,422,1946,2368,773687.0
1320101,MILLER,171,1033,1204,109,574,683,212546.0
1320503,MITCHELL,817,4727,5544,538,2354,2892,956648.0
1320701,MONROE CO DEPT FACS,411,2921,3332,276,1448,1724,574536.0
1320901,MONTGOMERY,211,1349,1560,139,671,810,269709.0
1321101,MORGAN,292,2071,2363,200,1008,1208,401715.0
1321301,MURRAY,884,6002,6886,567,2841,3408,1165836.0
1321502,MUSCOGEE,5998,34642,40640,3878,16740,20618,7419502.0
1321701,NEWTON,2452,19939,22391,1443,9082,10525,4201361.0
1321901,OCONEE,169,1292,1461,111,593,704,257073.0
1322101,OGLETHORPE CO DFCS,285,1681,1966,189,788,977,335816.0
1322301,PAULDING,1561,15467,17028,897,6638,7535,3162771.0
1322502,PEACH,703,4335,5038,464,2185,2649,908143.0
1322701,PICKENS,410,2938,3348,276,1410,1686,575850.0
1322901,PIERCE CO DFCS,521,3120,3641,336,1430,1766,637003.0
1323101,PIKE,246,1626,1872,158,801,959,327084.0
1323301,POLK CO DFCS,1105,6782,7887,751,3230,3981,1390126.0
1323501,PULASKI,233,1548,1781,148,745,893,306505.0
1323701,PUTNAM CO DFCS,401,2789,3190,256,1329,1585,538757.0
1323901,QUITMAN CO DFCS,78,565,643,48,277,325,106265.0
1324101,RABUN,204,1351,1555,138,656,794,249722.0
1324301,RANDOLPH CO DEPT FACS,320,1757,2077,225,909,1134,360013.0
1324501,RICHMOND CO DFCS,5990,39242,45232,3791,18054,21845,8204600.0
1324702,ROCKDALE,1517,13997,15514,862,6373,7235,2926048.0
1324901,SCHLEY CO DFCS,104,713,817,66,327,393,146266.0
1325101,SCREVEN CO DEPT FACS,467,2842,3309,312,1335,1647,573183.0
1325301,SEMINOLE,290,1859,2149,187,949,1136,378750.0
1325501,SPALDING,2067,13181,15248,1382,6490,7872,2846025.0
1325701,STEPHENS,699,4122,4821,456,1988,2444,799091.0
1325902,STEWART COUNTY,189,870,1059,137,509,646,181794.0
1326101,SUMTER,1116,7421,8537,714,3801,4515,1553413.0
1326302,TALBOT,234,1073,1307,173,596,769,216418.0
1326501,TALIAFERRO,60,236,296,41,128,169,46628.0
1326701,TATTNALL CO DFCS,527,3585,4112,335,1561,1896,713667.0
1326902,TAYLOR CO DFCS,275,1519,1794,197,789,986,307037.0
1327101,TELFAIR CO DEPT FACS,395,2408,2803,260,1168,1428,478805.0
1327302,TERRELL,406,2300,2706,293,1200,1493,460535.0
1327501,THOMAS CO DFCS,1528,7182,8710,927,3623,4550,1460453.0
1327702,TIFT,1185,7875,9060,759,3725,4484,1584261.0
1327901,TOOMBS CO DFCS,911,5667,6578,586,2564,3150,1156172.0
1328102,TOWNS CO DFCS,141,891,1032,103,478,581,164970.0
1328302,TREUTLEN,238,1424,1662,158,716,874,284976.0
1328501,TROUP CO DFCS,1696,13031,14727,1051,5951,7002,2697979.0
1328701,TURNER CO DFCS,322,2000,2322,218,992,1210,399033.0
1328901,TWIGGS,296,1418,1714,201,802,1003,280009.0
1329101,UNION CO DFCS,275,1759,2034,186,834,1020,316969.0
1329302,UPSON,967,5611,6578,668,2927,3595,1179088.0
1329502,WALKER,1177,8761,9938,709,4193,4902,1719589.0
1329701,WALTON,1537,10524,12061,999,4811,5810,2168390.0
1329901,WARE,1210,7796,9006,793,3629,4422,1580657.0
1330101,WARREN CO DFCS,204,1151,1355,147,587,734,216772.0
1330303,WASHINGTON,633,3188,3821,442,1575,2017,641523.0
1330501,WAYNE,782,5383,6165,473,2424,2897,1100889.0
1330702,WEBSTER,68,414,482,41,238,279,84563.0
1330901,WHEELER,158,1071,1229,104,495,599,210518.0
1331101,WHITE CO DFCS,365,2568,2933,240,1199,1439,497778.0
1331302,WHITFIELD,1513,11816,13329,963,5414,6377,2248657.0
1331501,WILCOX,249,1498,1747,163,764,927,305173.0
1331701,WILKES,303,1703,2006,221,884,1105,323434.0
1331901,WILKINSON CO DFCS,281,1609,1890,179,817,996,324551.0
1332101,WORTH,517,3758,4275,343,1856,2199,737589.0
